"Code","Name","ROE","GrossMargin","OperatingProfitMargin","NetProfitMargin","AssetTurnoverRatio","FinancialLeverage","QoQ","R.DExpenseRatio","CapitalExpendituresRatio","InventoryTurnover","AccountsPayableTurnoverRatio","AccountsReceivableTurnoverRatio","SeasonReturn...","TwoMonthReturn...","MonthReturn...","WeekReturn..."
1102,"亞泥",0.0115202435807455,0.134424946475193,0.0892515027437746,0.105704912565459,0.0621897121029092,1.75245931474919,0.311488090633758,0,-0.00733878086925856,2.36343001959793,1.74557177674284,1.62457420576468,1.37182044887781,-1.11221945137157,-2.41321695760599,3.99002493765586
1104,"環泥",0.0244461526243261,0.192765751841263,0.122866363949419,0.297289692931526,0.0661191155439782,1.24366562602717,0.434119876926645,0.010241132707077,-0.00164065273740213,3.32070043200481,1.68315297433711,1.01422267755198,-19.9836956521739,-25.0054347826087,-24.5032608695652,1.9927536231884
1108,"幸福",0.0378747519638072,0.18145867053111,0.132426192895949,0.148631290698987,0.130063747979764,1.95922035205653,-0.454235854722561,0,0.00401579026611962,0.24688396264303,1.80631803000675,1.08358598561581,-23.7958904109589,-28.6808219178082,-29.6582191780822,3.42465753424658
1203,"味王",0.0288917319843336,0.296279254763955,0.139854663407319,0.116486673773329,0.159777163898057,1.55232490453572,-0.0742407288089258,0.00127598759339846,0.0457867087302009,0.646792295173443,2.89819864275031,2.98736704213138,-18.5906712172924,-20.6951080773606,-24.3501706484642,12.6279863481229
1210,"大成",0.0470458418489759,0.140729295452624,0.0650449687215536,0.0522066834909736,0.437743340804131,2.05861717306849,-0.0902003270102489,0.00124781374111787,0.0286176365015285,2.53196139949147,4.02413357102121,3.25470377212542,-14.087030075188,-15.4563909774436,-18.7432330827068,2.44360902255639
1220,"台榮",0.0193084114956065,0.135789670762489,0.0588635712238464,0.0549884891687238,0.28099058149364,1.24963446717834,0.0372461145307508,0,-0.00694463706210301,1.40659528762918,6.87889352933601,1.13876601832245,14.2492647058824,11.7102941176471,9.89705882352941,4.04411764705883
1229,"聯華",0.018048831475171,0.146734963857922,0.0231817998409057,0.395280562248533,0.0356676533856664,1.28017426868662,0.0359678182678655,0.00446299904312839,0.0299483519904082,1.42198561334221,1.82530702210713,1.54363501478729,-23.2457680250784,-28.1326018808777,-28.4202194357367,5.17241379310344
1231,"聯華食",0.0342920243540435,0.213812562651195,0.0879917917544052,0.0651250448083491,0.23232071458593,2.26650746356378,-0.770376104802729,0.0113027942522247,0.135755881967832,1.33254081153747,1.92127982682454,1.30632210739717,-13.7237986270023,-21.3995423340961,-23.7535469107552,1.83066361556063
1240,"茂生農經",0.0333420997499343,0.130307727818036,0.0573110646943666,0.0639449230181776,0.342088793920276,1.52422131190167,0.526111288072669,0.00135925705346126,-0.013648137646861,3.15066378989966,2.65632534052831,1.47670756160014,-5.93654266958425,-7.61619256017506,-8.66608315098468,3.06345733041575
1264,"德麥",0.0551952067575169,0.330321187107126,0.16903820677789,0.135433764890299,0.324406972209868,1.25627360027705,-0.0919091225548544,0.0113943441935092,-0.0103440404498889,1.19303431480863,5.13736872738315,1.41162095687426,-9.83217993079585,-12.9871972318339,-14.6477508650519,1.21107266435986
1304,"台聚",0.00439242693877202,0.103766916316929,0.0268565570100278,0.0160443212114528,0.178794103710053,1.53119324969044,0.307188477390313,0.00876673372911064,0.0138326012660558,1.84805263120916,4.13579229060939,2.07690900638041,24.4952631578947,16.5868421052631,6.63736842105263,5.52631578947369
1324,"地球",0.0180031689854825,0.21395847219527,0.0520911553031901,0.0738633007939387,0.197559077036422,1.23373889903974,-0.77561664100474,0.0150772423917721,-0.00990525045771707,1.08725309992706,1.56183099890194,1.35338852412218,-38.7376770538244,-39.0164305949008,-42.9150141643059,3.11614730878187
1325,"琱j",0.00949541236774432,0.00286388313708523,-0.129977027124476,0.28262817937386,0.0322970674085788,1.04024414302476,1.576104140738,0.0224268834152321,-0.00584108539110548,0.879464650778219,8.51526348200933,1.4706390328152,3.90982142857144,13.9513392857143,3.25491071428573,1.11607142857143
1336,"台翰",0.0210792168979979,0.17595606315517,0.0718940080238126,0.062242785039472,0.228844998384062,1.47987158310529,1.24380872750438,0,-0.0359922997282257,3.67852423146082,2.46584115519971,1.25946647487526,40.1026894865526,23.040586797066,25.4435207823961,2.93398533007336
1339,"昭輝",0.0398638374387412,0.344916613184277,0.181710302810888,0.286027474406163,0.102295695346773,1.36242935700701,0.529461934402681,0.0279607759243311,0.112323988085769,0.991750887886816,1.30004753558819,0.929913335339696,-35.4333870967742,-38.0796774193548,-34.2237096774194,6.29032258064517
1340,"勝悅-KY",-0.0239807218464208,-0.423682334229145,-0.75202243185433,-0.712602149947897,0.0318273471588446,1.05734004854145,0.222927693045188,0.0714226951132562,1.00544342675369,7.57372624822204,3.26546529546813,1.31890230118902,-7.86026200873361,-12.2270742358078,-11.353711790393,0.87336244541486
1341,"富林-KY",0.0352472106441176,0.197518605023395,0.0949637068013035,0.0714084806894698,0.304728120968979,1.61980385148185,-0.23389651531151,0.00694318183584068,-0.0285947826681523,0.851983105655646,2.89178837021772,1.40256708688602,2.75307086614173,3.80929133858267,3.35653543307087,-0.157480314960632
1409,"新纖",0.0121102175465841,0.126342542127768,0.0265847572434736,0.0538922616770257,0.055251266461861,4.06708545542142,2.79033289762772,0.0115256472264131,0.130277370717141,1.47114298240425,1.64152226382092,0.595612775979392,12.6870431893688,10.5016611295681,6.75614617940199,3.65448504983388
